id;is_mc;is_witness;mci;
0;True;False;0;{1};
1;True;False;0;{6};
2;False;False;1;set();
3;False;False;2;set();
4;False;False;3;set();
5;False;False;3;set();
6;True;True;1;{16};
7;False;False;2;set();
8;False;False;3;set();
9;False;False;3;set();
10;False;False;3;set();
11;False;True;2;set();
12;False;False;3;set();
13;False;False;5;set();
14;False;True;5;set();
15;False;False;3;set();
16;True;False;2;{20};
17;False;True;3;set();
18;False;False;7;set();
19;False;False;3;set();
20;True;False;3;{30};
21;False;False;7;set();
22;False;False;6;set();
23;False;False;6;set();
24;False;False;5;set();
25;False;False;6;set();
26;False;False;7;set();
27;False;False;7;set();
28;False;False;9;set();
29;False;False;5;set();
30;True;False;4;{32};
31;False;False;6;set();
32;True;False;5;{41};
33;False;False;8;set();
34;False;False;9;set();
35;False;False;7;set();
36;False;False;9;set();
37;False;False;9;set();
38;False;True;6;set();
39;False;False;9;set();
40;False;False;9;set();
41;True;True;6;{47};
42;False;False;10;set();
43;False;False;7;set();
44;False;False;8;set();
45;False;False;9;set();
46;False;False;10;set();
47;True;False;7;{53};
48;False;False;8;set();
49;False;False;9;set();
50;False;False;9;set();
51;False;False;10;set();
52;False;False;9;set();
53;True;False;8;{61};
54;False;False;9;set();
55;False;False;10;set();
56;False;True;10;set();
57;False;False;10;set();
58;False;False;9;set();
59;False;False;9;set();
60;False;False;10;set();
61;True;False;9;{64};
62;False;False;10;set();
63;False;True;10;set();
64;True;False;10;{67, 65};
65;True;False;11;{71};
66;False;False;-1;set();
67;True;True;11;{72};
68;False;False;-1;set();
69;False;False;-1;set();
70;False;False;-1;set();
71;True;True;12;{76};
72;True;False;12;{77};
73;False;True;-1;set();
74;False;False;-1;set();
75;False;False;-1;set();
76;True;False;13;{80};
77;True;True;13;{81};
78;False;False;-1;set();
79;False;False;-1;set();
80;True;True;14;{85};
81;True;False;14;{91};
82;False;False;-1;set();
83;False;False;-1;set();
84;False;False;-1;set();
85;True;False;15;{88, 89};
86;False;False;-1;set();
87;False;False;-1;set();
88;True;True;15;{95, 93, 94};
89;True;False;16;{92};
90;False;False;-1;set();
91;True;True;15;{99};
92;True;False;17;{97};
93;True;False;16;{96};
94;False;False;-1;set();
95;False;False;-1;set();
96;False;False;-1;set();
97;False;False;-1;set();
98;False;False;-1;set();
99;True;False;16;{100};
100;False;False;-1;set();
